Customer_ID,Customer_Name,Customer_Surname,Customer_Primary_Email,Customer_Primary_Phone
3,Michael,Johnson,michael.johnson@email.com,333-333-3333
4,Alice,Williams,alice.williams@email.com,555-123-4567
5,David,Brown,david.brown@email.com,789-456-1230
6,Sussan,Miller,susan.miller@email.com,555-555-5556
7,Brian,Anderson,brian.anderson@email.com,321-654-9870
8,Emily,Davis,emily.davis@email.com,888-222-3333
9,Robert,Taylor,robert.taylor@email.com,123-123-1234
10,Sophia,Moore,sophia.moore@email.com,444-555-6666
11,Christopher,White,christopher.white@email.com,555-333-4444
12,Olivia,Jackson,olivia.jackson@email.com,999-888-7777
13,Aaron,Martin,aaron.martin@email.com,909-292-2929
14,Grace,Clark,grace.clark@email.com,777-888-9999
15,Matthew,Hall,matthew.hall@email.com,666-555-4444
16,Emma,Wilson,emma.wilson@email.com,121-212-2121
17,Nathan,Young,nathan.young@email.com,555-444-3333
18,Amelia,Turner,amelia.turner@email.com,111-222-3333
19,Ethan,Harris,ethan.harris@email.com,222-222-2222
20,Isabella,Thomas,isabella.thomas@email.com,222-111-0000
